INFO    2018-12-12 00:28:15,849 [main] Driver  - you start new connection with pathsample\39697
INFO    2018-12-12 00:28:15,859 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:15,859 [main] Driver  - you enter query: DROP DATABASE TestDB and it isn't created
INFO    2018-12-12 00:28:15,859 [main] Driver  - you enter query: CREATE DATABASE TestDB and it was already created
INFO    2018-12-12 00:28:15,859 [main] Driver  - you close your statement
INFO    2018-12-12 00:28:15,859 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:15,980 [main] Driver  - you enter query: CREATE TABLE table_name1(column_name1 varchar , column_name2 int, column_name3 varchar) and it was already CREATE
INFO    2018-12-12 00:28:15,980 [main] Driver  - you close your statement
INFO    2018-12-12 00:28:15,980 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:15,990 [main] Driver  - you enter query: CREATE TABLE table_name2(column_name1 varchar, column_name2 int, column_name3 varchar) and it was already CREATE
INFO    2018-12-12 00:28:15,990 [main] Driver  - you enter query: INSERT INTO * table_name2(column_NAME1, COLUMN_name3, column_name2) VALUES ('value1', 'value3', 4)
INFO    2018-12-12 00:28:15,990 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:16,000 [main] Driver  - you enter query: CREATE TABLE table_name3(column_name1 varchar, column_name2 int, column_name3 varchar) and it was already CREATE
INFO    2018-12-12 00:28:16,000 [main] Driver  - you enter query: INS ERT INTO table_name3(column_NAME1, COLUMN_name3, column_name2) VALUES ('value1', 'value3', 4)
INFO    2018-12-12 00:28:16,000 [main] Driver  - you close your statement
INFO    2018-12-12 00:28:16,000 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:16,010 [main] Driver  - you enter query: CREATE TABLE table_name4(column_name1 varchar, column_name2 int, column_name3 varchar) and it was already CREATE
INFO    2018-12-12 00:28:16,010 [main] Driver  - you enter query: INSERT INTO table_name4(column_NAME1, COLUMN_name3, column_name2) VALUES ('value1', 'value3', 4)
INFO    2018-12-12 00:28:16,010 [main] Driver  - you enter query: UPDATE table_name4 SET column_name1=='1111111111', COLUMN_NAME2=2222222, column_name3='333333333'
INFO    2018-12-12 00:28:16,020 [main] Driver  - you close your statement
INFO    2018-12-12 00:28:16,020 [main] Driver  - you start new statement
INFO    2018-12-12 00:28:16,020 [main] Driver  - you enter query: CREATE TABLE table_name6(column_name1 varchar, column_name2 int, column_name3 varchar) and it was already CREATE
INFO    2018-12-12 00:28:16,020 [main] Driver  - you enter query: INSERT INTO table_name6(column_NAME1, COLUMN_name3, column_name2) VALUES ('value1', 'value3', 4)
INFO    2018-12-12 00:28:16,040 [main] Driver  - you enter query: UPDATE table_name6 SET column_name1='1111111111', COLUMN_NAME2=2222222, column_name3='333333333
INFO    2018-12-12 00:28:16,040 [main] Driver  - you close your statement
